d_loss:1.3990465, g_loss:0.7294544
d_loss:1.4510393, g_loss:0.68810683
d_loss:1.4327674, g_loss:0.69642365
d_loss:1.3811319, g_loss:0.84284186
d_loss:1.229836, g_loss:0.742489
d_loss:1.079448, g_loss:0.8434839
d_loss:1.1219876, g_loss:0.85597146
d_loss:1.2697842, g_loss:0.8070898
d_loss:1.0236539, g_loss:0.95359427
d_loss:1.1387025, g_loss:0.83252954
d_loss:1.170762, g_loss:0.7691784
d_loss:1.1993153, g_loss:0.75725037
d_loss:1.1564903, g_loss:0.67005754
d_loss:1.5238283, g_loss:0.5766227
d_loss:1.6271164, g_loss:0.6240708
d_loss:1.7884557, g_loss:0.5976617
d_loss:1.6271842, g_loss:0.75946736
d_loss:1.6841884, g_loss:0.65031934
d_loss:1.7119783, g_loss:0.66946334
d_loss:1.5641763, g_loss:0.7287592
d_loss:1.3574361, g_loss:0.7761627
d_loss:1.2057893, g_loss:0.79985714
d_loss:1.2395, g_loss:0.7494087
d_loss:1.3050919, g_loss:0.8271909
d_loss:1.3719387, g_loss:0.639834
d_loss:1.3273743, g_loss:0.7087682
d_loss:1.2261155, g_loss:0.7704494
d_loss:1.330225, g_loss:0.5846131
d_loss:1.7226725, g_loss:0.44467956
d_loss:2.1476417, g_loss:0.81425965
d_loss:1.7675654, g_loss:0.8193148
d_loss:1.5308375, g_loss:0.7062011
d_loss:1.3282487, g_loss:0.7518641
d_loss:1.0870761, g_loss:0.82469964
d_loss:1.1313956, g_loss:0.8038429
d_loss:1.2652814, g_loss:0.62769747
d_loss:1.837787, g_loss:0.48590282
d_loss:1.7080225, g_loss:0.5616729
d_loss:1.3079078, g_loss:0.7182033
d_loss:1.2842528, g_loss:0.7030294
d_loss:1.2269516, g_loss:0.77975345
d_loss:1.4558411, g_loss:0.61890864
d_loss:1.3336327, g_loss:0.7914776
d_loss:1.2949028, g_loss:0.77488947
d_loss:1.3753057, g_loss:0.71492493
d_loss:1.2135749, g_loss:0.811419
d_loss:1.2633659, g_loss:0.7936605
d_loss:1.9873729, g_loss:0.29392123
d_loss:2.0979466, g_loss:0.3481182
d_loss:1.763277, g_loss:0.73333514
d_loss:1.3413311, g_loss:0.81798786
d_loss:0.8512225, g_loss:0.95205224
d_loss:1.034791, g_loss:0.84453917
d_loss:1.4823667, g_loss:0.54528815
d_loss:1.7743464, g_loss:0.6898219
d_loss:1.6011659, g_loss:0.8843734
d_loss:1.4189281, g_loss:0.73956215
d_loss:1.2401223, g_loss:0.9072059
d_loss:1.6167198, g_loss:0.48808917
d_loss:1.4372568, g_loss:1.0149952
d_loss:1.3784703, g_loss:0.96429753
d_loss:1.5983212, g_loss:0.6427496
d_loss:1.5450608, g_loss:0.7417741
d_loss:1.3145885, g_loss:0.7512764
d_loss:1.2479994, g_loss:0.7610382
d_loss:1.2160081, g_loss:0.78976744
d_loss:1.2248976, g_loss:0.78594863
d_loss:1.0468497, g_loss:0.9185026
d_loss:1.3145859, g_loss:0.7630538
d_loss:1.6677022, g_loss:0.49196762
d_loss:1.7564968, g_loss:0.5834038
d_loss:1.8340182, g_loss:0.6091297
d_loss:1.8575574, g_loss:0.4788047
d_loss:1.8786628, g_loss:0.40920132
d_loss:1.6220315, g_loss:0.7458498
d_loss:1.7332411, g_loss:0.5054879
d_loss:1.6263244, g_loss:0.58127385
d_loss:1.5912766, g_loss:0.6887414
d_loss:1.5269091, g_loss:0.5989385
d_loss:1.394547, g_loss:0.65116286
d_loss:1.4460514, g_loss:0.61483425
d_loss:1.5747521, g_loss:0.57247156
d_loss:1.6396422, g_loss:0.5097854
d_loss:1.8278699, g_loss:0.48084933
d_loss:1.7105429, g_loss:0.48729372
d_loss:1.7260617, g_loss:0.57087857
d_loss:1.6123941, g_loss:0.786654
d_loss:1.5281512, g_loss:0.693078
d_loss:1.3800379, g_loss:0.7233741
d_loss:1.3540702, g_loss:0.6561494
d_loss:1.4803922, g_loss:0.5841249
